Title,Price,Brand,Model,Year of Manufacture,Engine capacity,Mileage,Bike Type,Condition,Trim / Edition,Location,URL
Hero Dash 2018,"Rs 215,000",Hero,Dash,2018,100 cc,"52,000 km",Scooters,Used,Hero,Kinniya,https://ikman.lk/en/ad/hero-dash-20-2018-for-sale-trincomalee-1
Bajaj Pulsar 180 2006,"Rs 240,000",Bajaj,Pulsar 180,2006,180 cc,"70,612 km",Motorbikes,Used,Bajaj,Mawanella,https://ikman.lk/en/ad/bajaj-pulsar-180-dts-i-2006-for-sale-kegalle-3
Hero Dawn 2005,"Rs 117,500",Hero,Dawn,2005,100 cc,"85,849 km",Motorbikes,Used,Dawn,Batticaloa City,https://ikman.lk/en/ad/hero-dawn-2005-for-sale-batticaloa-4
Honda Dio 2018,"Rs 565,000",Honda,Dio,2018,110 cc,"45,677 km",Scooters,Used,Dio,Chilaw,https://ikman.lk/en/ad/honda-dio-scv-110-2018-for-sale-puttalam
Honda CB Hornet 2018,"Rs 600,000",Honda,CB Hornet,2018,160 cc,"63,000 km",Motorbikes,Used,,Negombo,https://ikman.lk/en/ad/honda-cb-hornet-2018-for-sale-gampaha-3
Bajaj Platina 2014,"Rs 330,000",Bajaj,Platina,2014,100 cc,"30,000 km",Motorbikes,Used,Bajaj,Horana,https://ikman.lk/en/ad/bajaj-platina-2014-for-sale-kalutara-546
Yamaha Facino 2018,"Rs 395,000",Yamaha,Facino,2018,110 cc,"51,348 km",Scooters,Used,Yamaha,Wattala,https://ikman.lk/en/ad/yamaha-facino-2018-for-sale-gampaha
Bajaj Discover 2010,"Rs 280,000",Bajaj,Discover,2010,150 cc,"75,000 km",Motorbikes,Used,Bajaj,Eheliyagoda,https://ikman.lk/en/ad/bajaj-discover-discovery-2010-for-sale-ratnapura-2
Yamaha FZs V2 2016,"Rs 785,000",Yamaha,FZs V2,2016,150 cc,"41,500 km",Motorbikes,Used,Yamaha,Maharagama,https://ikman.lk/en/ad/yamaha-fzs-v2-fz-s-2016-for-sale-colombo
Bajaj Pulsar 150 2010,"Rs 350,000",Bajaj,Pulsar 150,2010,150 cc,"45,000 km",Motorbikes,Used,Bajaj,Badulla City,https://ikman.lk/en/ad/bajaj-pulsar-150-cc-2010-for-sale-badulla-1
Bajaj Discover 125 2025,"Rs 350,000",Bajaj,Discover 125,2025,125 cc,"11,500 km",Motorbikes,Used,,Gampaha City,https://ikman.lk/en/ad/bajaj-discover-125-2025-for-sale-gampaha-237
Hero Pleasure 2015,"Rs 76,500",Hero,Pleasure,2015,100 cc,"29,500 km",Scooters,Used,hero,Boralesgamuwa,https://ikman.lk/en/ad/hero-pleasure-2015-for-sale-colombo-2227
Honda Dio 2016,"Rs 95,000",Honda,Dio,2016,110 cc,"23,400 km",Scooters,Used,honda,Boralesgamuwa,https://ikman.lk/en/ad/honda-dio-2016-for-sale-colombo-6072
Bajaj Platina 2014,"Rs 65,000",Bajaj,Platina,2014,100 cc,"26,500 km",Motorbikes,Used,BAJAJ,Boralesgamuwa,https://ikman.lk/en/ad/bajaj-platina-2014-for-sale-colombo-894
Bajaj Discover 125 2025,"Rs 590,000",Bajaj,Discover 125,2025,125 cc,"7,100 km",Motorbikes,Used,BAJAJ,Boralesgamuwa,https://ikman.lk/en/ad/bajaj-discover-125-2025-for-sale-colombo-373
